drug_code,drug_name,atc,drug_form,composition,excipients
37396037,JURNISTA*14CPR 8MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina (e1518)#ferro ossido (e172)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)
40428726,TAPENTADOLO GR*30CPR 250MG RP,N02AX06,COMPRESSE RILASCIO PROLUNGATO,tapentadolo cloridrato#tapentadolo,metilidrossipropilcellulosa#cellulosa microcristallina (e460)#silice anidra colloidale#magnesio stearato (e470b)#lattosio monoidrato#talco (e553b)#macrogol#propilenglicole (e1520)#biossido di titanio (e171)#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)
37396292,JURNISTA*28CPR 32MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#ferro ossido giallo (e172)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#biossido di titanio (e171)#triacetina (e1518)#ferro ossido (e172)#peg 400#propilenglicole (e1520)
37396153,JURNISTA*14CPR 16MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina (e1518)#ferro ossido giallo (e172)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)
37396532,JURNISTA*28CPR 4MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#ferro ossido giallo (e172)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#metilidrossipropilcellulosa#biossido di titanio (e171)#peg 400#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)#metilidrossipropilcellulosa
37396052,JURNISTA*28CPR 8MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina (e1518)#ferro ossido (e172)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)
39586274,TARGIN*30CPR 20MG+10MG RP,N02AA55,COMPRESSE RILASCIO PROLUNGATO,oxicodone#naloxone,povidone k30#etilcellulosa (e462)#alcol stearilico#Lattosio monoidrato#talco (e553b)#magnesio stearato (e470b)#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
35568031,TRANSTEC*10CER 20MG 35MCG/H,N02AE01,CEROTTI TRANSDERMICI,buprenorfina,"[(Z)-ottadec-9-en-1-il] oleato#povidone K90#acido levulinico#poli [acido acrilico-co-butilacrilato-co-(2-etilesil) acrilato-co-vinilacetato] (5:15:75:5)#lamina di poli(etilentereftalato)#tessuto di poli(etilentereftalato)#lamina di poli(etilentereftalato), siliconata e rivestita di alluminio su un lato"
45031465,"OXSYNIA*100CPR 15MG+7,5MG RP",N02AA55,COMPRESSE RILASCIO PROLUNGATO,oxicodone#naloxone,idrossipropilcellulosa (e463)#etilcellulosa (e462)#alcol stearilico#Lattosio monoidrato#talco (e553b)#magnesio stearato (e470b)#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido nero (e172)#ferro ossido (e172)#ferro ossido giallo (e172)
43588211,ALGESALONA*20CER 70MCG/H,N02AE01,CEROTTI TRANSDERMICI,buprenorfina,"povidone K90#acido levulinico#oleil oleato#poli [acido acrilico-co-butilacrilato-co-(2-etilesil) acrilato-co-vinilacetato] (5:15:75:5)#poli [(2-etilexil) acrilato-co-glicidilmetacrilato-co (2-idrossietil) acrilato-co-vinilacetato] (68:0,15:5:27)#lamina di polietilene tereftalato#poliestere#lamina di polietilen-tereftalato, siliconata#inchiostro da stampa di colore blu"
37396518,JURNISTA*14CPR 4MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#ferro ossido giallo (e172)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#metilidrossipropilcellulosa#biossido di titanio (e171)#peg 400#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)#metilidrossipropilcellulosa
46934028,PARACETAMOLO CODEINA MY*16CPR,N02AJ06,COMPRESSE,paracetamolo#codeina fosfato emidrato,amido di mais#Acido stearico#povidone#Lattosio monoidrato#Cellulosa in polvere#talco (e553b)#magnesio stearato (e470b)
31825058,TACHIDOL*12CPR RIV 500MG+30MG,N02AJ06,COMPRESSE RIVESTITE DIVISIBILI,paracetamolo#codeina fosfato,sodio croscarmelloso#acido stearico#povidone#silice precipitata#sodio laurilsolfato (e487)#lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol 4000
31825072,TACHIDOL*20CPR RIV 500MG+30MG,N02AJ06,COMPRESSE RIVESTITE DIVISIBILI,paracetamolo#codeina fosfato,sodio croscarmelloso#acido stearico#povidone#silice precipitata#sodio laurilsolfato (e487)#lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol 4000
44089225,LENIZAK*500CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
43221011,COEFFERALGAN*16CPR EFF500+30MG,N02AJ06,COMPRESSE EFFERVESCENTI,paracetamolo 500 mg#codeina fosfato 30 mg,sodio bicarbonato#sodio carbonato#acido citrico (e330)#sorbitolo (e420)#sodio benzoato (e211)#sodio docusato#povidone#aspartame#aroma naturale pompelmo
44090102,DEXTRADOL*50CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
31825060,TACHIDOL*16CPR RIV 500MG+30MG,N02AJ06,COMPRESSE RIVESTITE DIVISIBILI,paracetamolo#codeina fosfato,sodio croscarmelloso#acido stearico#povidone#silice precipitata#sodio laurilsolfato (e487)#lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol 4000
46934016,PARACETAMOLO CODEINA MY*8CPR,N02AJ06,COMPRESSE,paracetamolo#codeina fosfato emidrato,amido di mais#Acido stearico#povidone#Lattosio monoidrato#Cellulosa in polvere#talco (e553b)#magnesio stearato (e470b)
49142021,SEPTRAPAT*4CER TRANSD 10MCG/H,N02AE01,CEROTTI TRANSDERMICI,buprenorfina,"Povidone K90#acido levulinico#Oleil oleato#poli [acido acrilico-co-butilacrilato-co-(2-etilesil) acrilato-co-vinilacetato] (5:15:75:5)#poli [(2-etilexil) acrilato-co-glicidilmetacrilato-co (2-idrossietil) acrilato-co-vinilacetato] (68:0,15:5:27)#Film in poli (etilene tereftalato)#Poliestere#Film in polietilene tereftalato siliconato#inchiostro da stampa"
46779219,PARACETAMOLO COD TE*200CPR RIV,N02AJ06,COMPRESSE RIVESTITE,paracetamolo#codeina fosfato emidrato,Povidone K29/K32#magnesio stearato (e470b)#silice anidra colloidale#talco (e553b)#sodio croscarmelloso#Copovidone (25.2-30.8)#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#macrogol#Talco (E553b)#biossido di titanio (e171)
44089326,LENIZAK*GRAT 20BUST 75+25MG,N02AJ14,GRANULATO PER SOLUZIONE ORALE,tramadolo cloridrato#dexketoprofene trometamolo,Saccarosio#aroma (limone)#acesulfame potassio (e-950)
40423764,PALEXIA*90CPR 250MG RP MONOD,N02AX06,COMPRESSE RILASCIO PROLUNGATO,tapentadolo cloridrato#tapentadolo,metilidrossipropilcellulosa#cellulosa microcristallina (e460)#silice anidra colloidale#magnesio stearato (e470b)#lattosio monoidrato#talco (e553b)#macrogol 6000#propilenglicole (e1520)#biossido di titanio (e171)#ferro ossido giallo (e172)#ferro ossido (e172)#ferro ossido nero (e172)
44090227,DEXTRADOL*100CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
44090254,DEXTRADOL*30CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
44090090,DEXTRADOL*20CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
44089124,LENIZAK*30CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
44089011,LENIZAK*2CPR RIV 75+25MG,N02AJ14,COMPRESSE RIVESTITE,tramadolo cloridrato#dexketoprofene,cellulosa microcristallina (e460)#amido di mais#sodio croscarmelloso#sodio stearilfumarato#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)
25215029,"TEMGESIC*10CPR SUBLING 0,2MG",N02AE01,COMPRESSE SUBLINGUALI,buprenorfina cloridrato,Lattosio#amido di mais#mannite#povidone#acido citrico anidro#sodio citrato anidro#magnesio stearato (e470b)
46779094,PARACETAMOLO COD TE*100CPR RIV,N02AJ06,COMPRESSE RIVESTITE,paracetamolo#codeina fosfato emidrato,Povidone K29/K32#magnesio stearato (e470b)#silice anidra colloidale#talco (e553b)#sodio croscarmelloso#Copovidone (25.2-30.8)#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#macrogol#Talco (E553b)#biossido di titanio (e171)
46779132,PARACETAMOLO COD TE*20CPR RIV,N02AJ06,COMPRESSE RIVESTITE,paracetamolo#codeina fosfato emidrato,Povidone K29/K32#magnesio stearato (e470b)#silice anidra colloidale#talco (e553b)#sodio croscarmelloso#Copovidone (25.2-30.8)#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#macrogol#Talco (E553b)#biossido di titanio (e171)
43759087,TRAMADOLO PARACET KRKA*70CPR,N02AJ13,COMPRESSE RIVESTITE,tramadolo cloridrato#paracetamolo,amido di mais#sodio amido glicolato (tipo a)#cellulosa microcristallina (e460)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#peg 400#ferro ossido giallo (e172)#polisorbato 80 (e433)
46779233,PARACETAMOLO COD TE*90CPR RIV,N02AJ06,COMPRESSE RIVESTITE,paracetamolo#codeina fosfato emidrato,Povidone K29/K32#magnesio stearato (e470b)#silice anidra colloidale#talco (e553b)#sodio croscarmelloso#Copovidone (25.2-30.8)#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#macrogol#Talco (E553b)#biossido di titanio (e171)
27989021,COEFFERALGAN*100CPR EFF500+30M,N02AA59,COMPRESSE EFFERVESCENTI / COMPRESSE SOLUBILI,paracetamolo#codeina fosfato,sodio bicarbonato#sodio carbonato#acido citrico (e330)#sorbitolo (e420)#sodio benzoato (e211)#sodio docusato#povidone#aspartame#aroma naturale pompelmo
37396417,JURNISTA*28CPR 64MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina (e1518)#indigotina (e 132)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)#metilidrossipropilcellulosa
44090342,DEXTRADOL*GRAT 100BUST 75+25MG,N02AJ14,GRANULATO PER SOLUZIONE ORALE,tramadolo cloridrato#dexketoprofene trometamolo,Saccarosio#aroma (limone)#acesulfame potassio (e-950)
42269011,BRUFECOD*30CPR RIV 400MG+30MG,N02AJ08,COMPRESSE RIVESTITE,ibuprofene#codeina fosfato emidrato,sodio amido glicolato (tipo a)#cellulosa microcristallina (e460)#leucina#talco (e553b)#silice anidra colloidale#amido pregelatinizzato#acido metacrilico-etilacrilato copolimero (1: 1) dispersione 30%#talco (e553b)#biossido di titanio (e171)#Macrogol 6000#Simeticone emulsione#carmellosa sodica
37396393,JURNISTA*14CPR 64MG RP,N02AA03,COMPRESSE RILASCIO PROLUNGATO,idromorfone cloridrato#idromorfone,Polietilene ossido 200K#Povidone K29-32#magnesio stearato (e470b)#butilidrossitoluene e321#Polietilene ossido 2000K#sodio cloruro#metilidrossipropilcellulosa#ferro ossido nero (e172)#Lattosio anidro#cellulosa acetato#macrogol 3350#Lattosio monoidrato#metilidrossipropilcellulosa#biossido di titanio (e171)#triacetina (e1518)#indigotina (e 132)#metilidrossipropilcellulosa#peg 400#ferro ossido nero (e172)#propilenglicole (e1520)
32787032,AMOXICILLINA HEXAL*12CPR RIV1G,J01CA04,COMPRESSE RIVESTITE,amoxicillina triidrata,amido di mais#povidone#sodio amido glicolato (tipo a)#silice anidra colloidale#magnesio stearato (e470b)#Eudragit E#biossido di titanio (e171)#talco (e553b)#macrogol 6000
43426170,BUSETTE*5CER TRANSD 15MCG/H,N02AE01,CEROTTI TRANSDERMICI,buprenorfina,"lamina di polietilen-tereftalato, siliconata#acido levulinico#Oleil oleato#Povidone K90#poli [acido acrilico-co-butilacrilato-co-(2-etilesil) acrilato-co-vinilacetato] (5:15:75:5)#lamina di poli(etilentereftalato)#Adesivo acrilico#Pellicola di supporto in poliuretano#inchiostro da stampa"
29487016,AMOXICILLINA EG*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata,talco (e553b)#sodio amido glicolato (tipo a)#magnesio stearato (e470b)#silice precipitata#cellulosa microcristallina (e460)
33676014,AMOXICILLINA ALMUS*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata,magnesio stearato (e470b)#cellulosa microcristallina (e460)#aroma crem caramel#sodio carbossimetilamido#macrogol 4000
23909031,AMOX*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata#Amoxicillina,cellulosa microcristallina (e460)#sodio amido glicolato (tipo a)#macrogol 4000#aroma crem caramel#magnesio stearato (e470b)
35986052,TRALODIE*10CPS 150MG RP,N02AX02,CAPSULE RIGIDE RILASCIO PROLUNGATO,tramadolo cloridrato,cellulosa microcristallina (e460)#Saccarosio monostearato#metilidrossipropilcellulosa#talco (e553b)#polisorbato 80 (e433)#Polietilene acrilato#simeticone#magnesio stearato (e470b)#indigotina (e 132)#biossido di titanio (e171)#Gelatina
23053147,SINTOPEN*12CPS 500MG,J01CA04,CAPSULE,amoxicillina triidrata,magnesio stearato (e470b)#Gelatina naturale#biossido di titanio (e171)
45674138,AMOXICILLINA AURO*24CPR 1G,J01CA04,COMPRESSE DISPERSIBILI,amoxicillina triidrata,Cellulosa microcristallina (Grado-101)#silice anidra colloidale#aspartame#sodio croscarmelloso#mannite#talco (e553b)#magnesio stearato (e470b)#Aroma di pesca#aroma arancia#aspartame#mannite#Maltodestrina#amido di mais#biossido di titanio (e171)#talco (e553b)
33675012,AMOXICILLINA AURO*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata,cellulosa microcristallina (e460)#sodio amido glicolato (tipo a)#peg 400#aroma crem caramel#magnesio stearato (e470b)
25770140,NEOAMPIPLUS*GRAT OS 250MG/5ML,J01CA04,SCIROPPO,amoxicillina triidrato cristallina,ammonio glicirizzinato#vanillina#aroma tuttifrutti#carmellosa sodica#saccarosio
34614026,AMOXICILLINA RATIO*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata,cellulosa microcristallina (e460)#talco (e553b)#silice anidra colloidale#magnesio stearato (e470b)
23086174,ZIMOX*12CPR SOLUB/MAST 1G,J01CA04,COMPRESSE SOLUBILI E MASTICABILI,amoxicillina triidrata,cellulosa microcristallina (e460)#crospovidone (e1202)#aroma lampone#saccarina sodica#sodio laurilsolfato (e487)#magnesio stearato (e470b)
22361012,AMPLIZER*12CPS 250MG,J01CA01,CAPSULE,ampicillina triidrata#Ampicillina anidra,lattosio#gelatina#biossido di titanio (e171)#ferro ossido (e172)
33676038,AMOXICILLINA ACTAVIS*60ML 5%,J01CA04,SOSPENSIONE ORALE,amoxicillina triidrata#Amoxicillina,"aroma olandese (lattosio,est. naturali: bacche cacao, vaniglia, vanillina ess.: cannella Ceylon e mandorle amare, cumarilone, di acetile)#gomma adragante#saccarosio#acqua potabile"
23966118,AMOXINA*14CPR DISPERS 1G,J01CA04,COMPRESSE DISPERSIBILI,amoxicillina triidrata,celluiosa microgranulare#talco (e553b)#Silice colloidale#magnesio stearato (e470b)
21647045,"AMPILISA*IM 1F 500MG+F 3,5ML",J01CA01,FIALE + FIALE SOLVENTE,Ampicillina sodica#Ampicillina,acqua per preparazioni iniettabili
44209043,AMOXICILLINA ZENTIVA*FL 100ML,J01CA04,POLVERE PER SOSPENSIONE ORALE,amoxicillina triidrata,"crospovidone (tipo a)#silice#gomma xantan#silice anidra colloidale#acesulfame potassio (e-950)#saccarina sodica#Aroma di fragola (maltodestrina, trietil citrato (E1505), i componenti aromatizzanti, glicole propilenico e alcool benzílico)"
23426125,IBIAMOX*SCIR 100ML 250MG/5ML,J01CA04,SCIROPPO,amoxicillina,sodio citrato bibasico#sodio citrato#carmellosa sodica#simeticone#aroma albicocca#aroma caramel mou#aroma menta#saccarosio#silice precipitata#e 110
45674102,AMOXICILLINA AURO*14CPR 1G,J01CA04,COMPRESSE DISPERSIBILI,amoxicillina triidrata,Cellulosa microcristallina (Grado-101)#silice anidra colloidale#aspartame#sodio croscarmelloso#mannite#talco (e553b)#magnesio stearato (e470b)#Aroma di pesca#aroma arancia#aspartame#mannite#Maltodestrina#amido di mais#biossido di titanio (e171)#talco (e553b)
28735025,PIPERITAL*IM FL 2G+F 4ML SOLV,J01CA12,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,piperacillina sodica,lidocaina cioridrato#acqua per preparazioni iniettabili
21647058,"AMPILISA*IM 1F 250MG+F 2,5ML",J01CA01,FIALE + FIALE SOLVENTE,Ampicillina sodica#Ampicillina,acqua per preparazioni iniettabili
24693044,IBIMICYN*INIET FL 500MG+1F 4ML,J01CA01,FIALE + FIALE SOLVENTE,ampicillina,acqua per preparazioni iniettabili
25770138,NEOAMPIPLUS 1000*12CPR 1000MG,J01CA04,COMPRESSE,amoxicillina triidrato cristallina,amido#sodio amido glicolato#vanillina#aroma tuttifrutti#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#talco (e553b)#giallo tramonto (E 110)
20121048,"AMPLITAL*INIET 1F 500MG+F2,5ML",J01CA01,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,Ampicillina sodica,acqua per preparazioni iniettabili
36996039,"PATROL*20CPR RIV 37,5MG+325MG",N02AJ13,COMPRESSE RIVESTITE,Tramadolo cloridrato#Paracetamolo,Cellulosa in polvere#amido pregelatinizzato#sodio amido glicolato (tipo a)#amido di mais#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#lattosio monoidrato#macrogol 6000#ferro ossido giallo (e172)#propilenglicole (e1520)#talco (e553b)
23760022,MOPEN*OS SOSP 100ML 125MG/5ML,J01CA04,SOSPENSIONE ORALE,amoxicillina triidrata#Amoxicillina,carmellosa sodica#banana liofilizzata#ananas liofilizzato#aroma panna#saccarosio
28735013,PIPERITAL*IM FL 1G+F 2ML SOLV,J01CA12,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,piperacillina sodica,lidocaina cioridrato#acqua per preparazioni iniettabili
23097064,VELAMOX*IM IV 1F 500MG+F 3ML,J01CA04,PREPARAZIONE INIETTABILE,amoxicillina sodica#amoxicillina,glicina#sodio idrossido#acqua per preparazioni iniettabili
20866087,AMPIPLUS SIMPLEX*6FL 500MG+6F,J01CA01,FIALE + FIALE SOLVENTE,ampicillina sodica#ampicillina,acqua per preparazioni iniettabili
33324029,PIPERACILLINA SAND*1F 2G+F4ML,J01CA12,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,Piperacillina sodica#lidocaina cioridrato,acqua per preparazioni iniettabili
32799013,SEMIPENIL*IM IV 1F 1G+F 2ML,J01CA12,PREPARAZIONE INIETTABILE,Piperacillina,lidocaina cioridrato#acqua per preparazioni iniettabili
22361024,AMPLIZER*BB OS GRAT 20G 5%,J01CA01,GRANULATO,ampicillina triidrata,lattosio#eritrosina (e 127)#ammonio glicirizzinato#aroma arancia#saccarosio
33151022,AMOXICILLINA SAND*12CPR 1G,J01CA04,COMPRESSE,amoxicillina triidrata#Amoxicillina anidra,cellulosa microcristallina (e460)#magnesio stearato (e470b)#sodio amido glicolato (tipo a)
20121137,AMPLITAL*12CPR 1G,J01CA01,COMPRESSE,ampicillina triidrata,cellulosa microcristallina (e460)#sodio carbossimetilamido#giallo chinolina (e 104)#magnesio stearato (e470b)
34391021,PIPERACILLINA DOC*1F 2G+F 4ML,J01CA12,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,piperacillina#lidocaina cioridrato,lidocaina cioridrato#acqua p.p.i.
33747027,REPARCILLIN*INIET 1F 2G+F 4ML,J01CA12,PREPARAZIONE INIETTABILE,Piperacillina#lidocaina cioridrato,lidocaina cioridrato#acqua per preparazioni iniettabili
20866125,AMPIPLUS SIMPLEX*SCIR 60ML 125,J01CA01,SCIROPPO,ampicillina,sodio benzoato (e211)#sodio cloruro#dimeticone#aroma albicocca#aroma crem caramel#aroma menta#saccarosio
33423017,PIPERACILLINA K24*IM F 1G+F2ML,J01CA12,POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE,Piperacillina,lidocaina cioridrato#acqua per preparazioni iniettabili
34391019,PIPERACILLINA DOC*IM 1G+F 2ML,J01CA12,FIALE + FIALE SOLVENTE,piperacillina#lidocaina cioridrato,lidocaina cioridrato#Acqua p.p.i.
20866063,AMPIPLUS SIMPLEX*IM IV 500MG+F,J01CA01,FIALE + FIALE SOLVENTE,ampicillina sodica#ampicillina,acqua per preparazioni iniettabili
33423031,PIPERACILLINA K24*INIET 1F 4G,J01CA12,POLVERE PER SOLUZIONE INIETTABILE,Piperacillina sodica#Piperacillina,lidocaina cioridrato#acqua per preparazioni iniettabili
21647021,AMPILISA*12CPS 500MG,J01CA01,CAPSULE,ampicillina triidrata#Ampicillina,calcio fosfato dibasico (e341)#Silice precipitata#magnesio stearato (e470b)#Gelatina#ferro ossido giallo (e172)#biossido di titanio (e171)
24469025,AVOCIN*IM IV 1FL 2G+F 4ML,J01CA12,FIALE + FIALE SOLVENTE,Piperacillina sodica,"Lidocaina cloridrato mg 20,00#Acqua bidistillata sterile q.b. ml 4,00"
28735037,PIPERITAL*EV 1FL POLV 4G,J01CA12,POLVERE PER SOLUZIONE INIETTABILE,piperacillina sodica#piperacillina,lidocaina cioridrato#acqua per preparazioni iniettabili
21647060,"AMPILISA*IM 1F 1G+F 3,5ML",J01CA01,FIALE + FIALE SOLVENTE,Ampicillina sodica#Ampicillina,acqua per preparazioni iniettabili
22361048,AMPLIZER*12CPR 1G,J01CA01,COMPRESSE,ampicillina triidrata#ampicillina anidra,calcio fosfato dibasico (e341)#povidone#olio di ricino idrogenato#silice precipitata#magnesio stearato (e470b)
24131017,CEFABIOZIM*IM 1FL 500MG+1F SOL,J01DB04,FLACONCINI + FIALE SOLVENTE,Cefazolina sodica,lidocaina cioridrato#acqua per preparazioni iniettabili
45611035,CEFAZOLINA QILU*EV IM 100FL 1G,J01DB04,POLVERE PER SOLUZIONE PER INFUSIONE,cefazolina,Nessuno
32935013,PIPERSAL*1F 1G+F 2ML SOLV,J01CA12,FIALE + FIALE SOLVENTE,Piperacillina sodica,lidocaina cioridrato#acqua per preparazioni iniettabili
33121118,AMPICILLINA BIOPH*IM IV 100FL,J01CA01,POLVERE PER SOLUZIONE INIETTABILE,ampicillina sodica,acqua per preparazioni iniettabili
22399101,PENTREXYL*INIET FL 500MG+F 2ML,J01CA01,PREPARAZIONE INIETTABILE,ampicillina (come sodica),"There are no inactive ingredients listed for the pharmaceutical form ""PREPARAZIONE INIETTABILE"" of the drug PENTREXYL in the provided composition."
24469013,AVOCIN*IM IV 1FL 1G+F 2ML,J01CA12,FIALE + FIALE SOLVENTE,Piperacillina sodica,lidocaina cioridrato#Acqua bidistillata sterile
33692029,CEFAZOLINA ACS*IM FL 500MG+F2M,J01DB04,FIALE + FIALE SOLVENTE,cefazolina#lidocaina cioridrato,lidocaina cioridrato#acqua per preparazioni iniettabili
20866024,AMPIPLUS SIMPLEX*12CPS 500MG,J01CA01,CAPSULE,ampicillina,magnesio stearato (e470b)#gelatina#biossido di titanio (e171)#ferro ossido (e172)#eritrosina (e 127)
25671052,PICILLIN*IV FL 4G,J01CA12,PREPARAZIONE INIETTABILE,piperacillina sodica,acqua p.p.i.
32876017,BIOPIPER*1F 1G+F 2ML SOLV,J01CA12,FIALE + FIALE SOLVENTE,Piperacillina#lidocaina cioridrato,lidocaina cioridrato#acqua per preparazioni iniettabili
45611050,CEFAZOLINA QILU*EV 10FL 2G,J01DB04,POLVERE PER SOLUZIONE PER INFUSIONE,cefazolina,Nessuno
22399048,PENTREXYL*12CPS 500MG,J01CA01,CAPSULE,ampicillina triidrata#ampicillina,magnesio stearato (e470b)#ferro ossido (e172)#eritrosina (e 127)#indigotina (e 132)#biossido di titanio (e171)#gelatina
32935025,PIPERSAL*IM 1F 2G+F 4ML SOLV,J01CA12,PREPARAZIONE INIETTABILE,Piperacillina sodica,lidocaina cioridrato#acqua per preparazioni iniettabili
