drug_code,drug_name,atc,drug_form,composition,excipients
49154014,MORFINA SOLF SUN*1SIR 1MG/ML,N02AA01,SOLUZIONE PER INFUSIONE,Morfina solfato#Morfina,"Disodio edetato#sodio cloruro#Acido cloridrico 0,1% (per aggiustare il pH)#Sodio idrossido 0,1% (per aggiustare il pH)#acqua per preparazioni iniettabili"
29611047,MORFINA CL MOLT*1F 1ML 10MG/ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
49154038,MORFINA SOLF SUN*1SIR 2MG/ML,N02AA01,SOLUZIONE PER INFUSIONE,Morfina Solfato SUN,"Disodio edetato#sodio cloruro#Acido cloridrico 0,1% (per aggiustare il pH)#Sodio idrossido 0,1% (per aggiustare il pH)#acqua per preparazioni iniettabili"
28103036,SKENAN*16CPS 60MG RP,N02AA01,CAPSULE,morfina solfato,Microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)#giallo arancio S E 110
36730188,FENTANIL HEXAL*3CER 100MCG/ORA,N02AB03,CEROTTI TRANSDERMICI,Fentanil,polietilene-tereftalato/etilenvinilacetato-copolimero#etanolo 96 %#idrossietilcellulosa#acqua depurata#etilenvinilacetato-copolimero#silicone medico adesivo#polietilene-tereftalato
31507027,ORAMORPH*OS SOL FL 120ML 20MG/,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#sodio benzoato (e211)#acido citrico (e330)#acqua depurata
34715312,TICINAN*20CPR RIV 200MG R.P.,N02AA01,COMPRESSE RIVESTITE,morfina cloridrato triidrato#morfina,lattosio monoidrato#poliacrilato dispersione 30%#acido metacrilico - copolimero etilacrilato (1:1)#copolimero ammonio metacrilato tipo B#ipromellosa 4000#magnesio stearato (e470b)#macrogol 6000#talco (e553b)#ipromellosa 5#agente antischiuma siliconante SE2 MC#agente colorante “Ponceau 4R – Lack” E 124#agente colorante “Gelborangelack” E 110#acqua depurata
28103048,SKENAN*16CPS 100MG RP,N02AA01,CAPSULE,morfina solfato,Microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)
30798021,MORFINA CL MONICO*5F 20MG 1ML,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
34715033,TICINAN*20CPR RIV 10MG R.P.,N02AA01,COMPRESSE RIVESTITE,morfina cloridrato triidrato#morfina,lattosio monoidrato#poliacrilato dispersione 30%#acido metacrilico - copolimero etilacrilato (1:1)#copolimero ammonio metacrilato tipo B#ipromellosa 4000#magnesio stearato (e470b)#macrogol 6000#talco (e553b)#biossido di titanio (e171)#ipromellosa 5#agente antischiuma siliconante SE2 MC#acqua depurata
31507078,ORAMORPH*SCIR FL 500ML 2MG/ML,N02AA01,SCIROPPO,morfina solfato,Saccarosio#Sciroppo di glucosio#metilparabene#propilparabene#alcool etilico#acqua depurata
29611074,MORFINA CL MOLT*5F 100MG/10ML,N02AA01,PREPARAZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
31507039,ORAMORPH*OS 20FL 1D 5ML 10MG,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#acido citrico (e330)#acqua depurata
31507080,ORAMORPH*OS SOL FL 30ML 20MG/M,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#sodio benzoato (e211)#acido citrico (e330)#acqua depurata
31507015,ORAMORPH*SCIR FL 100ML 2MG/ML,N02AA01,SCIROPPO,morfina solfato,Saccarosio#Sciroppo di glucosio#metilparabene#propilparabene#alcool etilico#acqua depurata
31507092,ORAMORPH*OS FL 100ML 20MG/ML,N02AA01,SOLUZIONE ORALE,morfina solfato,Disodio edetato#sodio benzoato (e211)#acido citrico (e330)#acqua depurata
44919177,OSSICODONE BRUNO*56CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
42318168,OSSICODONE AU*100CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#metilidrossipropilcellulosa#peg 400#polisorbato 80 (e433)
